"วันที่"|"สัญชาติ"|"จำนวน"|"ค่าปรับ"
"2023-01-07"|"USA"|"1"|"1000"
"2023-01-07"|"GBR"|"1"|"11000"
"2023-01-08"|"GBR"|"1"|"1000"
"2023-01-08"|"AUS"|"1"|"2500"
"2023-01-08"|"USA"|"1"|"1000"
"2023-01-08"|"USA"|"1"|"1000"
"2023-01-10"|"ITA"|"1"|"1000"
"2023-01-10"|"USA"|"1"|"1500"
"2023-01-10"|"USA"|"1"|"7000"
"2023-01-11"|"MMR"|"1"|"11000"
"2023-01-12"|"FRA"|"1"|"2000"
"2023-01-12"|"DNK"|"1"|"14000"
"2023-01-13"|"AUS"|"1"|"20000"
"2023-01-13"|"USA"|"1"|"1000"
"2023-01-13"|"CHN"|"1"|"1000"
"2023-01-13"|"USA"|"1"|"1000"
"2023-01-13"|"USA"|"1"|"6000"
"2023-01-15"|"USA"|"1"|"1500"
"2023-01-18"|"ISR"|"1"|"1000"
"2023-01-18"|"TWN"|"1"|"20000"
"2023-01-18"|"LTU"|"1"|"1000"
"2023-01-18"|"GBR"|"1"|"1500"
"2023-01-18"|"CHN"|"1"|"6000"
"2023-01-18"|"CHN"|"1"|"20000"
"2023-01-18"|"CHN"|"1"|"20000"
"2023-01-19"|"KWT"|"1"|"7500"
"2023-01-20"|"ROU"|"1"|"1500"
"2023-01-20"|"VNM"|"1"|"3500"
"2023-01-20"|"CHN"|"1"|"2500"
"2023-01-21"|"GBR"|"1"|"1000"
"2023-01-21"|"CHN"|"1"|"1000"
"2023-01-21"|"MAR"|"1"|"2000"
"2023-01-21"|"GBR"|"1"|"5000"
"2023-01-21"|"USA"|"1"|"2000"
"2023-01-21"|"CAN"|"1"|"1000"
"2023-01-21"|"CAN"|"1"|"1000"
"2023-01-21"|"CAN"|"1"|"1000"
"2023-01-21"|"CAN"|"1"|"1000"
"2023-01-22"|"DEU"|"1"|"1000"
"2023-01-23"|"USA"|"1"|"5000"
"2023-01-24"|"CAN"|"1"|"5500"
"2023-01-24"|"NZL"|"1"|"1500"
"2023-01-24"|"USA"|"1"|"20000"
"2023-01-24"|"USA"|"1"|"20000"
"2023-01-24"|"USA"|"1"|"20000"
"2023-01-24"|"CHE"|"1"|"2000"
"2023-01-25"|"RUS"|"1"|"1000"
"2023-01-25"|"MMR"|"1"|"5500"
"2023-01-25"|"MMR"|"1"|"5500"
"2023-01-25"|"JPN"|"1"|"1500"
"2023-01-25"|"CHN"|"1"|"15000"
"2023-01-27"|"TWN"|"1"|"20000"
"2023-01-28"|"DEU"|"1"|"1000"
"2023-01-29"|"TWN"|"1"|"12000"
"2023-01-31"|"USA"|"1"|"1000"
"2023-01-31"|"USA"|"1"|"1000"
"2023-02-01"|"CHE"|"1"|"2000"
"2023-02-01"|"CHE"|"1"|"1500"
"2023-02-01"|"USA"|"1"|"7500"
"2023-02-02"|"USA"|"1"|"6000"
"2023-02-02"|"ITA"|"1"|"1500"
"2023-02-03"|"CHN"|"1"|"1000"
"2023-02-03"|"MMR"|"1"|"9500"
"2023-02-04"|"RUS"|"1"|"20000"
"2023-02-04"|"CHN"|"1"|"1500"
"2023-02-04"|"USA"|"1"|"2000"
"2023-02-05"|"GBR"|"1"|"1000"
"2023-02-05"|"FRA"|"1"|"20000"
"2023-02-05"|"CHN"|"1"|"9500"
"2023-02-05"|"CHN"|"1"|"3000"
"2023-02-05"|"CHN"|"1"|"2500"
"2023-02-05"|"HKG"|"1"|"2500"
"2023-02-05"|"SWE"|"1"|"1000"
"2023-02-05"|"SWE"|"1"|"1000"
"2023-02-05"|"USA"|"1"|"7000"
"2023-02-05"|"USA"|"1"|"7000"
"2023-02-07"|"DEU"|"1"|"12500"
